GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=09/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuelbed_number,FCCSID,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,shrubs_needledrape_loading,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
0,0,FB_0000_FCCS.xml,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
1,1,FB_0001_FCCS.xml,13,240,11.414977,10.282875,0.077176,0,0.682758,0,0.121165,0.800041,2.695305,0,95,0,0,0.2,0,90,0,0.2,0.8,3.5,0.5,0.5,0,3,4,5,0,0.029405,0,0.5,1.30475,0.1,0.0025,0.5,0.3,0,0,0,0,0,2,16,0,0,0,60.728199,9,9
2,2,FB_0002_FCCS.xml,131,240,102.0811,11.625653,0.78646,3.406934,0,13.047192,9.399562,7.740816,1.869412,1.895328,90,90,1.5,0.15,0.01,85,60,1,2,4,2,3,6,1,3,4,0,0.091891,0,0.5,1.45597,0.1,0.0015,0.5,0.1125,0,0,0.5,0,0,3,18,0,0,0,186.627121,8,1
3,3,FB_0003_FCCS.xml,136,240,8.570362,0,1.391924,0,0,0,2.685589,4.423323,1.419839,0,85,0,0,0.3,0.01,90,50,2.5,3.5,3.6,10.700001,0,0,2.5,0,0,0,6.616141,0,0.75,2.148187,0,0,0.5,0.0075,0,0,0.5,0,0,2.5,19.800001,0,1.775982,0,72.448845,8,1
4,4,FB_0004_FCCS.xml,118,240,1.668078,0,0.031995,0.068638,0,0.167331,0,0,5.4,0.510363,70,90,0,0.5,0.1,90,90,0.2,0.3,3.8,0,0,0,12.000001,7,4.5,0,13.232283,0,0.75,2.26875,0,0,0,0,0,0,0,0,0,1.5,6,0.163028,0,0,57.743137,8,1
5,5,FB_0005_FCCS.xml,118,240,27.955572,20.425552,0.267831,0.376816,0,1.368714,0.406758,0.459537,2.975991,0,90,0,1.5,0.2,0.01,50,50,0.5,1.6,3.3,4.3,8.900001,3.4,0.8,1.6,0.6,0.022108,0.036756,0,2,4.981,0,0,0,0,0.005033,0,0.5,0,0,1.1,7.832001,0,0,0,92.932846,8,1
6,6,FB_0006_FCCS.xml,140,240,23.418907,6.273231,0.096074,1.346642,0,5.299848,0,8.661905,2.775789,0,90,0,0,0.6,0.1,75,60,0.1,0.4,0.8,2.6,2.2,0,0.3,0.7,0.7,0.210485,0.122521,0,0.5,1.2495,0.1,0.00015,0.1,0.0318,0.00373,0,0,0,0,0.3,2.28,0.135985,0,0,54.896233,9,9
7,7,FB_0007_FCCS.xml,136,240,28.141611,11.578901,0.749471,0,0,0,0,1.840253,0.865338,0,95,0,0,0.02,0,95,0,1,3.2,1.9,0.6,0.7,1.7,4.9,5.4,14.200001,0,0,0,0.4,1.19196,0.2,0.002,0.5,0.075,0,0,3,0,0,1.3,10.296,0.066061,0,0,91.426598,8,1
8,8,FB_0008_FCCS.xml,135,240,73.916969,17.665548,1.452447,3.893639,0,14.911075,3.470807,2.858311,1.109114,0.57618,75,90,0,0.01,0.01,90,60,1,2,4,10,20,10,2,10,5,0,0.091891,0,1,2.97495,0.1,0.0015,0.7,0.105,0,0,0.5,0,0,4,31.68,0,0,0,204.316376,8,1
9,9,FB_0009_FCCS.xml,135,240,7.334737,0,0.613812,0,0,0,5.371178,6.634984,1.744756,0,85,0,1.5,0.15,0,90,0,1.5,2.6,2.5,2,3.7,7,4.7,8,20,0,1.482506,0,0.5,1.505,0.1,0.0015,0.5,0.15,0,0,0.5,0,0,1.5,11.52,0.027473,0,0,90.535957,8,1
10,10,FB_0010_FCCS.xml,130,240,71.630798,49.782768,0.857357,0.45013,0,1.573625,0.349657,0.287953,0.848785,0.706928,75,90,0,0.3,0.05,60,80,1.3,1,1,5,35,5,2,10,5,0,0.091891,0,1,2.85475,0.1,0.006,0.7,0.21,0,0,0.5,0,0,5,38,0,0,0,232.22702,8,1
11,11,FB_0011_FCCS.xml,130,240,31.51569,0,0.327445,0.12385,0,0.270303,0.193024,12.914575,0.252873,0.706928,75,90,0,0.2,0.05,80,60,1,2,4,5,5,5,5,5,5,0,1.914393,0,1,2.404,0.1,0.0005,0.7,0.21,0,0,0.5,0,0,1.25,8,0.017849,0,0,96.331123,8,1
12,12,FB_0012_FCCS.xml,112,260,50.757393,0,0.508306,0.687765,0,2.374503,4.701582,1.02966,0.029341,0,75,0,0,0.05,0.01,75,55,0.3,0.6,1.1,0.6,4.5,7,0.5,3.6,5,0,0.004633,0,1.3,3.276325,0,0,0.4,0.012,0.044539,0,0.04,0,0,1.4,10.752001,0,0,0,95.103554,8,1
13,13,FB_0013_FCCS.xml,112,240,2.743808,0,0.210938,0.284785,0,1.026028,7.38611,3.041339,0.595478,0.576465,90,95,0,0.2,0,85,0,0.4,0.6,1,13.000001,4,7,3,1,7,0,0,0,0.2,0.437124,0.2,0.005,0.3,0.045,0,0,0.04,0.8,10.512,0.8,4.672,0,0,0,67.750053,8,1
14,14,FB_0014_FCCS.xml,153,260,26.717165,0,2.578601,0,0,0,0,0,0.287354,0,75,0,0,0.1,0,80,0,0.25,0.5,0.9,1.25,0,0,0,0,0,0,0,0,1.5,1.8675,0,0,0,0,0,0,0,0,0,0.5,2.4,0,0,0,36.85062,9,9
15,15,FB_0015_FCCS.xml,154,260,21.359221,0,4.94324,0.250788,0,0.895449,4.299727,0.727604,6.364981,0.04818,90,90,0,0.04,0.01,60,75,0.08,0.7,0.23,1.75,5,6,0.5,2,2,0.103907,0.01654,0,1.1,2.494624,0,0,0,0,0.053305,0,0,3.7,50.616001,0.8,4.864,0,0,0,114.348206,8,3
16,16,FB_0016_FCCS.xml,150,240,30.118196,13.289349,0.567506,2.043806,0,8.043611,2.705154,0,1.930923,0,80,0,1.5,0.1,0.1,70,70,0.3,1.4,1.8,0.8,2.5,0,0.7,2.5,0,0,0,0,1,2.6488,0,0,0,0,0.008002,0,0,0,0,1,7.04,0,0,0,72.051735,8,4
17,17,FB_0017_FCCS.xml,114,260,32.937008,0,2.784863,0.42576,0,1.469931,15.608837,2.05932,0,0,0,0,0,0.06,0,70,0,0.9,3.1,3,1,1,1,1,0.8,0,0,0,0,1.6,4.128,0,0,0.5,0.0375,0.046254,0,0,0,0,4.6,32.015999,0,0,0,101.903542,8,4
18,18,FB_0018_FCCS.xml,118,240,4.610654,12.91111,0.098471,1.68988,0,5.794482,0.170414,0.849694,0.298151,0.055606,75,95,0,0.1,0.07,65,65,0.4,0.8,0.2,1.1,2.7,6.3,0.9,0.8,0,0.107828,0.459454,0,0.3,0.714,0.1,0.0035,0.1,0.02325,0.000042,0,0.5,0,0,0.8,5.44,0,0,0,41.194225,8,1
19,19,FB_0019_FCCS.xml,119,260,51.257893,26.899767,0.688678,0,0,0,0,15.749061,0.0756,0,90,0,0,0.01,0,60,0,0.5,1.5,3,0.5,4,19,0.7,2.5,8,0,0,0,1.2,3.06102,0,0,0,0,0.004307,0,0,0,0,2,13.599999,0.204163,0,0,151.250488,8,4
20,20,FB_0020_FCCS.xml,145,260,4.25542,1.561255,0,0,0,0,0,0,1.486319,0.012915,70,90,0,0.05,0.3,80,80,0.05,0.1,0.5,1,0,0,0,2,4,0,0,0,0.5,0.4365,0.1,0.0015,0.1,0.0075,0,0,3,0.5,2.7,0.5,1.2,0,0,0,22.661407,5,5
21,21,FB_0021_FCCS.xml,125,240,0.661597,0,0,0.086178,0,0.15907,3.246011,5.106476,0.00219,0,99,0,0,0.02,0,70,0,0.2,1,2.5,8,0.5,0,0.7,0.2,0,0.005635,0.018378,0,0.5,0.74825,0.1,0.0005,0.2,0.003,0.000788,0,0,0,0,1,4,0.032159,0,0,27.025528,8,3
22,22,FB_0022_FCCS.xml,125,240,4.174495,0,0,0.063278,0,0.087495,0.061815,0.050906,0.001096,0,99,0,0,0.2,0,70,0,0.4,2.2,2.8,8.3,0.7,0.5,0.8,0.5,0.5,0.005635,0.018378,0,0.5,0.74475,0.1,0.0005,0.2,0.006,0,0,0.04,0,0,2,8,0.032159,0,0,30.093378,8,3
23,23,FB_0023_FCCS.xml,125,240,7.818651,0,0.071188,4.426441,0,12.697764,9.111134,1.603911,0.945794,0,75,0,0,0.17,0,70,0,0.2,1.1,1.6,9.700001,8.700001,1,3.3,2.3,1,0.005635,0.003676,0,0.5,0.74125,0.1,0.0005,0.2,0.015,0.005364,0,0.04,0,0,1,4,0.202788,0,0,58.055698,8,3
